expression,meaning,sentence_translation
中,middle / inside,"My child's height is about average in the class."
雨,rain,"It's raining."
明るい,bright / cheerful,"She has a cheerful personality."
暗い,dark,"The eastern sky is dark."
黒い,black,"She is wearing a black dress."
魚,fish,"Do you like meat or fish better?"
急に,suddenly,"I suddenly remembered something to do."
運ぶ,to carry,"Please carry the chair to the second floor."
早く,early / quickly,"Please come as early as possible."
橋,bridge,"That bridge is the longest in Japan."
裏,back / behind,"There is a park behind the company."
草,grass,"Grass is growing in the garden."
壁,wall,"There is a picture hanging on the wall."
湯,hot water,"The bathtub is full of hot water."
戸,door,"The door to the room is open."
こんなに,so much,"I've never read such an interesting book before."
お巡りさん,police officer,"Let's ask that police officer for directions."
腐る,to rot,"The apple is rotten."
絵本,picture book,"That child loves picture books."
いらっしゃる,to come / to be (honorific),"The guest has arrived."
きらりと,glimmer,"The diamond glimmered brightly."
光,light,"A beam of light shone through the window."
玉,jewel / bead,"Beads of sweat rolled down his face like pearls."
気に入る,to like,"I really like my new shoes."
光る,to shine,"The waves were sparkling in the sunlight."
引っ越し,move / relocation,"I moved last year."
引っ越す,to move,"I will move to Osaka next month."
お父さん,father,"My father is a company employee."
郊外,suburbs,"I bought a house in the suburbs."
移る,to move / to transfer,"She transferred to a new company."
隠れる,to hide,"The sun hid behind the clouds."
ああ,oh,"Oh, I can't stand noisy people."
あいづち,backchanneling,"I nodded along with his story."
あいにく,unfortunately,"Unfortunately, it started raining midway."
あえて,daringly,"He dared to take a risk."
あきれる,to be amazed / to be shocked,"I was shocked by his stubbornness."
あくび,yawn,"My father yawned."
あぐら,sitting cross-legged,"He is talking while sitting cross-legged."
あげる,to give,"I'll give this book to you."
あそこ,over there,"There is a bus stop over there."
あだな,nickname,"His nickname is 'Riki.'"
あちこち,here and there,"We walked around here and there since morning."
あちら,that way,"Let's try going that way."
あちらこちら,here and there,"The autumn leaves are beautiful everywhere."
あっさり,lightly / easily,"Don't say it so easily."
あっち,over there,"The post office is over there."
あなた,you,"I'll give this book to you."
あふれる,to overflow,"Hot water overflowed from the bathtub."
あまり,not very / not much,"This beer isn't very tasty."
あらかじめ,prior / in advance,"Please write down the necessary items in advance."
あり,ant,"A swarm of ants gathered on the sugar."
あれ,that (over there),"What is that?"
あれこれ,this and that,"I hesitated over which clothes to buy."
あんなに,so much / such,"There's no one as kind as that."
あんまり,not very / not much,"I don't like this very much."
いい加減,irresponsible / moderate,"Don't say irresponsible things."
いか,squid,"I love squid sashimi."
いかが,how / in what way,"How are you feeling?"
いかに,how / in what way,"If you meet him, you'll know how good a person he is."
いかにも,indeed / truly,"He truly looks like an athlete."
いきなり,suddenly,"I was suddenly tapped on the shoulder from behind."
いけない,must not / should not,"You shouldn't neglect your studies."
いずれ,eventually,"Let's meet again someday."
岸,shore,"The ship finally reached the shore."
いたずら,mischief,"That child loves mischief."
いちいち,one by one / every time,"He gives me instructions every single time."
いつ,when,"When is she coming?"
いつか,someday,"I want to go to Africa someday."
いつごろ,about when,"When are you planning to take summer vacation?"
いつでも,anytime,"Please come to my house anytime."
いつのまに,before I knew it,"He disappeared before I knew it."
いつのまにか,before I knew it,"Before I knew it, the night was over."
いつまでも,forever,"I'll never forget you."
いつも,always,"She seems different from her usual self."
いとこ,cousin,"My cousin and I are the same age."
いびき,snoring,"My father's snoring is loud."
いやいや,reluctantly,"The child reluctantly went to school."
いやらしい,lewd / unpleasant,"He is such an unpleasant man."
いよいよ,finally,"Tomorrow is finally the day of departure."
いらいら,irritated,"She has been irritated since morning."
うがい,gargling,"In winter, I gargle frequently."
うきうき,excited,"I'm excited because summer vacation is coming soon."
うちわ,fan,"My father is fanning himself with a uchiwa."
うっかり,carelessly,"I carelessly deleted an important email."
うつむく,to look down,"He is looking down and thinking about something."
うどん,udon,"I had udon for lunch."
うなずく,to nod,"She nodded to show her agreement."
うまい,delicious / skillful,"I found a great sushi restaurant."
うるさい,noisy / annoying,"Please don't be so noisy."
うろうろ,to wander,"The man wandered around the lobby for a while."
えび,shrimp,"I like shrimp tempura."
おいしい,delicious,"This cake is delicious, isn't it?"
おかしい,funny / strange,"His story was funny."
おかず,side dish,"What's the side dish for dinner?"
おごる,to treat (someone),"He treated me to a meal."
おしゃべり,chatting,"They are engrossed in chatting."
おしゃれ,fashionable,"That girl is so fashionable."
おじ,uncle,"My uncle works at a bank."
おじさん,uncle / middle-aged man,"I just met the man next door."
おだてる,to flatter,"He is good at flattering people."
おっしゃる,to say (honorific),"It's just as you said."
おなか,stomach,"I'm hungry."
おにぎり,rice ball,"I had rice balls for lunch."
おば,aunt,"My aunt lives in Osaka."
おばさん,aunt / middle-aged woman,"Hello, Aunt."
おまけ,bonus / freebie,"The grocer gave me lots of freebies."
おもちゃ,toy,"The baby is playing with a toy car."
おやつ,snack,"Today's snack was pudding."
およそ,about / approximately,"It's about 1 kilometer from home to the station."
お世辞,flattery,"He's good at giving compliments."
お中元,summer gift,"We received beer as a summer gift."
お互い,each other,"It's important to trust each other."
お仕舞い,end / finish,"That's the end of the story."
お兄さん,older brother,"How old is your older brother?"
お前,you (informal),"I can't believe what you say."
お医者さん,doctor,"I went to the doctor because I had a fever."
お参り,visiting a temple,"We went to the temple as a family."
近く,nearby,"We had a meal near the station."
二,two,"I've met that person twice."
二つ,two things,"Please give me two ice creams."
三,three,"She's the mother of three children."
三つ,three things,"I bought three glasses."
四つ,four things,"I have four wristwatches."
四,four,"Four people came to the party."
これ,this,"I'll take this one."
五つ,five things,"Please give me five peaches."
五,five,"We went on a trip with five people."
六つ,six things,"My son turned six."
六,six,"He has six children."
七,seven,"I woke up at seven o'clock."
七つ,seven things,"This child will turn seven this year."
八,eight,"Please give me eight apples."
八つ,eight things,"That house has eight clocks."
なる,to become,"He became a doctor."
九,nine,"I plan to go in September."
九つ,nine things,"My daughter will turn nine tomorrow."
十,ten,"The child counted to ten with their fingers."
百,one hundred,"My grandmother is 100 years old."
千,one thousand,"Please lend me 1,000 yen."
万,ten thousand,"These shoes cost 10,000 yen."
円,yen / circle,"Draw a circle. Or, I paid 1,000 yen."
する,to do,"I did my homework with my friends."
日,day / sun,"The Japan-France joint research has started."
六日,sixth day,"I returned to Japan six days ago."
三日,third day,"It took three days for the letter to arrive."
五日,fifth day,"May 5th is a holiday."
八日,eighth day,"I will go to the UK on the 8th."
二十日,twentieth day,"The 20th of next month is my younger brother's birthday."
二日,second day,"I waited for two days."
九日,ninth day,"The package will arrive on the 9th."
ところ,place,"I stayed at my friend's place."
一日,first day,"Are you free on the first day of next month?"
十日,tenth day,"I will return in ten days."
七日,seventh day,"My grandchild was born on the 7th of last month."
四日,fourth day,"The new school term starts on the 4th of next month."
月,moon / month,"The moon is so beautiful tonight."
水,water,"One glass of water, please."
金,gold / money,"She is wearing a gold necklace."
日曜日,Sunday,"On Sunday, I went to the sea."
土曜日,Saturday,"On Saturday night, I go to the club."
やる,to do / to perform,"Let's do our homework together."
金曜日,Friday,"On Friday night, I go out with friends."
月曜日,Monday,"Let's meet on Monday."
木曜日,Thursday,"I don't have work on Thursday."
曜日,day of the week,"I got the day of the week wrong."
火曜日,Tuesday,"There's a meeting on Tuesday."
水曜日,Wednesday,"I have a part-time job on Wednesday."
週,week,"Are you free the following week?"
年,year,"The new year has begun."
分かる,to understand,"Did you understand the meaning of the question?"
そう,so / that's right,"I think so too."
何,what,"What is your question?"
先,earlier / ahead,"Please go ahead."
今年,this year,"This year, I want to travel to Italy."
今日,today,"Today's Japanese youth are Westernized."
今月,this month,"I'm very busy this month."
今週,this week,"I have a Japanese test this week."
来年,next year,"Let's travel together next year."
もう,another / more,"One more cup of coffee, please."
行く,to go,"I go to the library on Sundays."
帰る,to return,"Let's go home."
大きい,large / big,"What's that big building?"
少ない,few / little,"There's little rain this year."
少し,a little,"I'm a little tired."
多い,many / much,"Kyoto has many temples."
多分,probably,"She's probably sleeping at home."
上げる,to raise / to lift,"He lifted the luggage onto the luggage rack."
よく,well / often,"You understood the answer well, didn't you?"
上る,to climb / to go up,"The cat is climbing onto the roof."
下,below / under,"I wrote my thesis under that professor."
右,right,"There's a handkerchief in the right pocket."
左,left,"Turn left there."
方,person / direction,"Next person, please."
大人,adult,"You've grown up a lot, haven't you?"
人,person,"He is a kind person."
一人,one person / alone,"I was the only one there."
どう,how,"What do you think?"
入れる,to put in,"He put a notebook into his bag."
出来る,can / to be able to,"She can speak Italian."
出す,to take out / to submit,"He took out a textbook from his bag."
本,book,"I bought one book."
休む,to rest / to take a break,"I'll take a day off tomorrow."
体,body,"I have a strong body."
口,mouth,"Please open your mouth wide."
耳,ear,"She has trouble hearing."
上手,skilled / good at,"My younger sister is good at singing."
手,hand,"Raise your hand if you understand."
空く,to become vacant,"The seat at the back is empty."
男,man,"A man spoke to us."
女,woman,"The shop assistant was a young woman."
子供,child,"A child was making noise on the train."
大好き,to love / to like very much,"I love dogs."
私,I / me,"I'm from Hokkaido."
友達,friend,"I have many friends."
家,house / home,"This is my house."
晴れる,to clear up / to be sunny,"I hope it will be sunny tomorrow."
こう,this way,"I can't read letters this small."
昨日,yesterday,"It rained yesterday, didn't it?"
開く,to open,"The train doors opened."
閉じる,to close,"Please close your textbook."
閉める,to shut / to close,"Properly shut the door, will you?"
閉まる,to be closed,"The store was already closed."
聞く,to listen / to hear,"She is listening to the radio."
時間,time,"I don't have time right now."
高い,high / expensive,"This is the tallest building in this town."
くれる,to give (to me),"A friend gave me a birthday present."
安い,cheap,"These clothes were very cheap."
低い,low,"He is short."
前,front / before,"Let's meet in front of that shop."
後,after,"Later, he became the prime minister."
後ろ,back,"Turn around."
午後,afternoon,"Tomorrow afternoon, a guest is coming."
午前,morning,"This is the 9 a.m. news."
朝,morning,"It's a refreshing morning."
昼,afternoon / noon,"I watch afternoon dramas every day."
かなり,considerably / quite,"He is quite good at English."
晩,evening,"Did you eat dinner?"
今晩,tonight,"What time does tonight's party start?"
夜,night,"In one hour, dawn will break."
食べる,to eat,"I ate Thai curry yesterday."
飲む,to drink,"I'm drinking alcohol with friends."
ご飯,rice / meal,"I prefer rice over bread."
買う,to buy,"I bought stamps at the post office."
見る,to see / to watch,"I like looking at paintings."
もっと,more,"Please come closer."
見つける,to find,"I found a new job."
見つかる,to be found,"I can't find my glasses."
言う,to say,"My boss said, 'Let's grab a drink.'"
話す,to speak,"I talked to my mom on the phone."
読む,to read,"She is reading a magazine."
漢字,Kanji / Chinese characters,"Kanji came from China."
書く,to write,"I wrote him a letter."
覚える,to remember / to memorize,"My little sister memorized all the Hiragana."
そこ,there,"Please sit there."
会う,to meet,"Let's meet again."
場合,case / situation,"If you don't understand, ask me."
車,car,"There are many cars on this road."
電車,train,"I commute by train."
駅,station,"Where is the station?"
道,road,"Go straight on this road to reach the station."
他,other / another,"Most exchange students are Asian; others make up 30%."
止める,to stop,"Stop the car."
歩く,to walk,"Let's walk to the station."
走る,to run,"He runs 3 kilometers every night."
近い,close / near,"The station is near here."
遠い,far,"It's far from home to school."
長い,long,"Her hair is very long."
短い,short,"He has short legs."
広い,wide / spacious,"His house is very spacious."
もらう,to receive,"I got a present from her."
全部,all,"Give me all of that, please."
国,country,"Let me tell you a bit about my country."
白い,white,"He has white teeth."
赤い,red,"I bought a red rose."
米,rice,"Japanese people love rice."
未だ,not yet,"I haven't finished my homework yet."
有る,to exist / to have,"There are many documents on my desk."
無い,not exist,"There is nothing here."
とても,very,"This book is very interesting."
作る,to make,"I'm making breakfast now."
使う,to use,"Please use this computer."
消す,to turn off / to erase,"Please turn off the lights during the day."
売る,to sell,"He sold his house."
店,shop,"I often come to this shop."
春,spring,"This spring is warm, isn't it?"
夏,summer,"I love summer."
秋,autumn,"She is getting married in autumn."
冬,winter,"Canada's winter is very cold."
みんな,everyone,"Let's give everyone some sweets."
暑い,hot (weather),"It's very hot today."
熱い,hot (object),"This soup is very hot."
寒い,cold (weather),"This room is cold."
暖かい,warm,"This coat is very warm."
新しい,new,"His car is new."
良い,good,"He only emphasized the good points."
悪い,bad,"Smoking is bad for your health."
思う,to think,"I think so too."
忘れる,to forget,"Please don't forget the promise."
考える,to think / to consider,"Please think carefully."
決める,to decide,"I decided to return to my country."
決まる,to be decided,"The schedule for the trip has been decided."
知る,to know,"No one knows that story."
一番,the most,"He is the tallest in the class."
住む,to live,"He lives near his company."
名前,name,"Please tell me your name."
食べ物,food,"Japanese food is very delicious."
飲み物,drink,"I want something to drink."
重い,heavy,"This bag is heavy."
軽い,light,"These shoes are very light."
送る,to send,"I sent a package to his house."
取る,to take,"I got a good score on the test."
待つ,to wait,"I'm waiting for you to come."
持つ,to hold / to have,"This car holds up well."
気持ち,feeling,"I don't understand his feelings."
生きる,to live,"Everyone is living life to the fullest."
どちら,which,"Do you prefer meat or fish?"
先生,teacher,"I want to become a Japanese teacher."
大学,university,"I want to go to university and study more."
学生,student,"He is a serious student."
大学生,university student,"My sister is a university student."
学校,school,"School starts at 8:30."
高校生,high school student,"My younger brother is a high school student."
教える,to teach,"He teaches math."
強い,strong,"The wind is strong today."
どれ,which one,"Which one do you like among these?"
弱い,weak,"That child's body is a little weak."
引く,to pull,"Please pull this door."
質問,question,"If you have any questions, feel free to ask."
難しい,difficult,"This book is difficult, isn't it?"
数,number,"There aren't enough glasses."
勝つ,to win,"The Yankees won today."
負ける,to lose,"Our team lost that match."
本当に,really,"I really like you."
要る,to need,"You don't need a reservation."
ドア,door,"Please open the door."
時計,clock / watch,"When I looked at the clock, it was exactly 3 o'clock."
払う,to pay,"Let me pay."
切る,to cut,"Please cut this paper in half."
変える,to change,"I changed the travel schedule."
乗る,to ride,"Take a taxi from the station."
着る,to wear,"I'm wearing a suit today."
立つ,to stand,"He stood on the stage."
座る,to sit,"I sat in a window seat."
次,next,"When should we meet next?"
しゃべる,to talk,"She talks a lot."
働く,to work,"My sister works at a bank."
速い,fast,"He runs fast."
遅い,slow,"The car in front is very slow."
始める,to start,"Please start the test."
始まる,to begin,"A new job has started."
終わる,to finish,"The meeting ends at 4 o'clock."
終わり,end,"Summer vacation is almost over."
テーブル,table,"I bought a new table."
去年,last year,"I went to France last year."
紙,paper,"Do you have paper and pencils?"
楽しむ,to enjoy,"I want to enjoy some alone time today."
楽しい,fun,"He's a very fun person."
歌う,to sing,"We sang loudly."
欲しい,to want,"I want new shoes."
色,color,"That's a nice color sweater."
茶色,brown,"She's wearing brown shoes."
直ぐ,soon,"I'll go right away."
ゲーム,game,"We played a video game."
書き直す,to rewrite,"Please rewrite this document."
直る,to be fixed,"The air conditioner isn't fixed yet."
線,line,"Draw two red lines."
曲がる,to turn,"Turn left there."
同じ,same,"His Japanese level is about the same as mine."
違う,different,"The answer is different."
図書館,library,"I borrowed a cookbook from the library."
泊まる,to stay,"I'll stay at this hotel tonight."
遊ぶ,to play,"The children are playing in the park."
服,clothes,"I bought new clothes yesterday."
父,father,"I love my father."
お母さん,mother,"Please give my regards to your mother."
母,mother,"Yesterday, I talked with my mother."
親,parents,"Parental love is precious."
姉,older sister,"My older sister is a college student."
妹,younger sister,"My younger sister is in elementary school."
兄,older brother,"My older brother is good at swimming."
弟,younger brother,"My younger brother likes baseball."
娘,daughter,"My daughter is in America."
息子,son,"My son is a first-year college student."
若い,young,"He is still young."
彼女,she,"She is an office worker."
彼,he,"He is my boss."
結婚,marriage,"She's getting married next month."
ミーティング,meeting,"The meeting started at 9 a.m."
自転車,bicycle,"I go to the station by bicycle every day."
自分,self,"Do your homework yourself."
ご主人,husband,"Is your husband well?"
答える,to answer,"Please answer my question."
別,another,"Please show me another book."
病気,illness,"My grandfather became ill."
死ぬ,to die,"The dog died from an illness."
痛い,painful,"I have a headache today."
酒,sake,"She has a high tolerance for alcohol."
つける,to turn on,"Please turn on the light."
一杯,full,"The pool is full of people."
飛ぶ,to fly,"The bird is flying."
飛行機,airplane,"My son likes toy airplanes."
続く,to continue,"The construction will continue until March."
日記,diary,"I keep a diary every day."
首,neck,"The giraffe's neck is long."
頭,head,"He was the head of the family."
顔,face,"He wiped his face with a towel."
感じる,to feel,"I feel pain in my knee."
探す,to search,"He was looking for the post office."
お手洗い,bathroom,"Where is the bathroom?"
冷たい,cold,"Please give me a cold drink."
汚い,dirty,"His room is very dirty."
太い,thick,"Her legs are thick."
曇る,to become cloudy,"It will probably become cloudy around noon tomorrow."
神,god,"He believes in God."
まずい,bad,"It's bad if you don't respond today."
建てる,to build,"We will build a house next year."
置く,to put,"He put his bag on the chair."
辺,area,"He lives in this area."
黄色い,yellow,"I bought yellow roses for her."
一緒に,together,"Let's go home together."
緑,green,"This town has a lot of greenery."
易しい,easy,"This problem is fairly easy."
留学生,exchange student,"He is an exchange student."
戻る,to return,"I'm going back to the office now."
そば,buckwheat noodles,"I ate soba for lunch."
起きる,to happen,"A theft incident occurred in the neighborhood."
起こる,to occur,"A big incident occurred in town."
起こす,to cause,"He caused a violent incident."
寝る,to sleep,"Let's go to sleep."
細い,thin,"Her fingers are thin."
載せる,to place,"I put the cake on a plate."
締める,to fasten,"He fastened his seatbelt."
甘い,sweet,"This strawberry is sweet."
こっち,this way,"Come this way, please."
辛い,hard / spicy,"This job is tough."
優しい,kind,"He is a very kind person."
夫,husband,"My husband is a salaryman."
妻,wife,"Today is my wife's birthday."
誰,who,"Who would you like to meet?"
愛する,to love,"I love my family."
笑う,to laugh,"The baby is laughing."
酸っぱい,sour,"These grapes are sour."
言葉,word,"I don't understand the meaning of this word."
よう,appearance,"She seems sleepy."
呼ぶ,to call,"Let's call the waiter."
胸,chest,"I feel slight pain in my chest."
腰,waist,"My waist has been hurting since yesterday."
背,back,"She is tall."
片仮名,Katakana,"Please write your name in Katakana."
平仮名,Hiragana,"I can read all Hiragana."
悲しい,sad,"That movie was very sad."
美しい,beautiful,"This painting is beautiful."
授業,lesson,"Today, I have a Japanese lesson."
手伝う,to help,"Let me help you."
狭い,narrow,"My room is small."
触る,to touch,"Please don't touch the painting."
嫌い,dislike,"I don't like smoking."
浴びる,to bathe,"I take a shower in the morning."
渇く,to get thirsty,"I am thirsty."
髪の毛,hair,"Your hair has grown."
肩,shoulder,"My shoulders feel stiff."
鼻,nose,"My nose itches."
腕,arm,"His arms are thick."
掛ける,to hang,"I hung my husband's clothes on a hanger."
僕,I (male),"I am a student."
駄目,no good,"He is a useless man."
大丈夫,okay,"Are you okay?"
風邪,cold,"I caught a cold."
奇麗,beautiful,"She is very beautiful."
嬉しい,happy,"I was happy to meet him."
柿,persimmon,"The persimmon tree in the garden bore fruit."
ため,sake,"This is a site for doctors."
より,more,"From now on, I will make even greater efforts."
億,hundred million,"The world population is 6.5 billion."
寺,temple,"There is an old temple over there."
ドル,dollar,"This dress cost 300 dollars."
火,fire,"Turn off the fire."
システム,system,"All systems have shut down."
分,portion,"This cake is your portion."
分ける,to divide,"We divided the sweets among everyone."
分かれる,to split,"Opinions were divided in the group."
コンピューター,computer,"I bought a new computer."
先ず,first,"First, wash your hands when you get home."
先月,last month,"Last month, my friend's wedding took place."
先週,last week,"I went to the sea last week."
今まで,until now,"Where have you been until now?"
来月,next month,"I'll become a university student next month."
来週,next week,"Let's continue next week."
ロボット,robot,"He is researching robots."
行う,to carry out,"The company will run a campaign next month."
行き,direction,"I'm taking a train bound for Osaka."
帰り,return,"I had a beer after work on the way back."
ほとんど,almost,"I almost have no money."
大きさ,size,"I need an envelope of this size."
大分,considerably,"I've improved a lot at playing the piano."
少年,boy,"The boys are playing soccer."
パソコン,personal computer,"He has two personal computers."
少しも,not even a little,"You are not even a little at fault."
少々,a little,"I can tolerate a little."
多く,many,"Many people travel abroad every year."
上がる,to go up,"Please come in before it gets cold."
年上,older,"He is older than me."
上り電車,up train,"This is an up train."
下げる,to lower,"Please lower the volume a little."
プログラム,program,"I received the program at the reception desk."
下がる,to go down,"The fever has finally gone down."
下りる,to descend,"Please go down those stairs."
下ろす,to take down,"Please take that box off the shelf."
下り,downward,"The downward train will depart soon."
年下,younger,"He is younger than his wife."
下る,to descend,"A small boat is descending the river."
一方,on the other hand / one way,"This is a one-way street."
まま,as is,"The light is still on."
二人,two people,"Today I will have dinner with my wife, just the two of us."
大人しい,quiet,"My girlfriend is very quiet."
人々,people,"The people in that village are very kind."
今日は一人で映画を見ます.,I will watch a movie alone today.,"Today, I am watching a movie alone."
テレビ,television,"I don't watch television much."
外人,foreigner,"There are few foreigners in this town."
外,outside,"It's hot outside."
休日,holiday,"On holidays, I often watch TV at home."
休み,day off,"I have a day off on Thursday."
ソフト,software,"You can study Japanese with this software."
力,strength,"Sumo wrestlers are all strong."
協力,cooperation,"This project requires everyone's cooperation."
人口,population,"What is the population of that country?"
出口,exit,"The exit is over there."
ただ,just,"I just wanted to talk to her."
入り口,entrance,"The entrance is over there."
右手,right hand,"I write with my right hand."
左手,left hand,"She writes with her left hand."
下手,unskilled,"I am bad at singing."
これら,these,"Today, we will discuss these issues."
足りる,to be enough,"I couldn't buy it because I didn't have enough money."
足す,to add,"Mom added water to the miso soup."
山,mountain,"The mountain air is clean."
川,river,"We crossed a small river."
空手,karate,"He is learning karate."
空,empty,"This bottle is already empty."
海外,overseas,"He has lived overseas for a long time."
海,sea,"The sea is vast and large."
毎日,every day,"We take a walk every day."
毎年,every year,"We travel every summer. There is an event every year."
尚,moreover,"Moreover, it will be canceled in case of rain."
毎週,every week,"I call my mother every week."
毎月,every month,"I save money every month."
石,stone,"I stumbled on a stone."
田んぼ,rice field,"There are many rice fields in this area."
ほぼ,almost,"The work is almost finished."
花,flower,"A beautiful flower has bloomed."
林,woods,"We entered the woods."
森,forest,"I like walking in the forest."
子,child,"That child doesn't understand Japanese."
サービス,service,"This shop has great service."
女の子,girl,"Do you know that girl?"
男の子,boy,"The boys are playing soccer."
私たち,we,"We are getting married next month."
達する,to reach,"The temperature reached 35 degrees."
グループ,group,"A group of students came to the store."
家内,my wife,"My wife is from Kyushu."
客,customer,"That store has many young customers."
空気,air,"The air here is clean."
ホテル,hotel,"I just arrived at the hotel."
人気,popularity,"This band is very popular."
雪,snow,"It snowed on Christmas."
まとめる,to gather,"She gathered her things and left."
青い,blue,"The sea here is very blue."
青,blue,"My favorite color is blue."
晴れ,sunny,"Tomorrow's weather will be sunny."
明らか,clear,"It's clear that he is at fault."
やはり,as expected,"As expected, he was late."
明日,tomorrow,"We'll have a meeting tomorrow."
昨年,last year,"There were many earthquakes last year."
はっきり,clearly,"You can clearly see the mountain today."
一昨年,the year before last,"I graduated from university the year before last."
一昨日,the day before yesterday,"I called you the day before yesterday."
東,east,"The eastern sky is dark."
西,west,"The sun sets in the west."
つまり,in other words,"In other words, you know nothing."
南,south,"My house is in the south of the town."
北,north,"Russia is north of Japan."
方向,direction,"Those people are all looking in the same direction."
向かう,to head,"I am heading to the office now."
ビル,building,"My company is on the 8th floor of that building."
向こう,over there,"My friend is over there."
向く,to face,"Please face this way."
聞こえる,to be heard,"I can hear the TV from the next room."
もちろん,of course,"Of course, I'll go with you."
年間,yearly,"50,000 people visit here yearly."
この間,the other day,"I met her the other day."
間,interval,"He paused for a moment before answering."
人間,human,"The human mind is complex."
かつて,once,"This was when I was once a student."
高さ,height,"Mount Fuji's height is 3,776 meters."
最大,largest,"This is the largest ship in the world."
初めて,for the first time,"It's my first time in Tokyo."
最初,first,"Look at the first part of page 5."
スポーツ,sports,"Do you play any sports?"
初め,beginning,"At the beginning, I couldn't do it well."
今後,henceforth,"I look forward to working with you henceforth."
最後,last,"Today is the last day of summer vacation."
なぜ,why,"Why didn't you come?"
明後日,the day after tomorrow,"The day after tomorrow is a holiday."
牛,cow,"The cow is eating grass."
半分,half,"I gave half of the sweets to my friend."
半年,half a year,"It's been half a year since I came to Japan."
そのまま,as it is,"Please wait as you are."
半月,half a month,"I came to Japan half a month ago."
半日,half a day,"Today I only work for half a day."
毎朝,every morning,"I go jogging every morning."
今朝,this morning,"I have had a headache since this morning."
もし,if,"If it rains, I won't go."
昼休み,lunch break,"I went to the park during my lunch break."
昼前,before noon,"There was a meeting before noon."
昼間,daytime,"I am busy with work during the daytime."
毎晩,every evening,"My sister writes a diary every evening."
つもり,plan,"I plan to quit smoking starting tomorrow."
今夜,tonight,"The moon is very beautiful tonight."
昨夜,last night,"I watched a comedy on TV last night."
夜中,midnight,"I got a phone call at midnight."
夕方,evening,"I'll arrive there in the evening."
やっと,finally,"I finally finished work."
昼食,lunch,"I had sushi for lunch."
朝食,breakfast,"I had natto for breakfast."
夕食,dinner,"Dinner is at 7 PM."
夕飯,supper,"Supper was sushi."
ニュース,news,"Did you watch the evening news?"
見方,viewpoint,"My viewpoint about him has changed."
花見,flower viewing,"I went flower viewing with my friends."
言い方,way of speaking,"You shouldn't speak in such a way."
話,talk,"Your story is interesting."
ずっと,continuously,"My father watches TV continuously on his days off."
読み,reading,"I learned reading and writing from my mother."
読み方,way of reading,"Please teach me how to read this kanji."
語る,to talk,"Let's talk a lot tonight."
言語,language,"He studies Asian languages."
ビデオ,video,"I recorded the program on video."
英語,English,"Can you speak English?"
文字,character,"There were characters written on the wall."
ローマ字,roman letters,"Please write your name in roman letters."
字,letter,"Please write the letters bigger."
マンション,apartment,"He lives in an apartment."
書き方,way of writing,"He doesn't know how to write that kanji."
覚める,to wake up,"I woke up at 6 this morning."
覚ます,to wake someone up,"The child woke up."
大会,festival / event,"In summer, there is a fireworks festival by the river."
しばらく,a while / for a moment,"Take a rest there for a while."
会話,conversation / dialogue,"Conversations between parents and children are important."
話し合う,to discuss / to talk about,"We talked and discussed thoroughly."
合う,to fit / to match,"These shoes fit my feet perfectly."
間に合う,to be on time / to make it,"I made it to the class on time."
